,Date,Title,Views,Likes,Comments,Month,Month_Number
26,2022-09-06 10:30:02+00:00,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,8240,290,21,September,9
27,2022-08-30 10:30:10+00:00,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,9448,290,26,August,8
28,2022-08-24 16:15:29+00:00,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,50111,1535,70,August,8
29,2022-08-23 10:30:19+00:00,Interviewing Ken Jee | The Face of Data Science on YouTube,6284,234,15,August,8
30,2022-08-16 10:30:00+00:00,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,13851,409,87,August,8
31,2022-08-09 10:30:11+00:00,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,12318,394,25,August,8
32,2022-08-02 10:30:05+00:00,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",15069,710,94,August,8
33,2022-07-26 13:19:48+00:00,250k Subscriber Live Stream!!,4133,159,11,July,7
34,2022-07-26 10:30:12+00:00,How to use DAX in Power BI | Microsoft Power BI for Beginners,15006,528,32,July,7
35,2022-07-19 10:30:06+00:00,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,20809,600,126,July,7
36,2022-07-12 10:30:22+00:00,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,17226,513,31,July,7
37,2022-07-05 10:30:01+00:00,Machine Learning Specialization on Coursera | Review,13111,503,64,July,7
38,2022-06-28 10:30:07+00:00,Meta Marketing Analytics Professional Certificate on Coursera | Review,21685,642,97,June,6
39,2022-06-21 10:30:09+00:00,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,41270,1565,138,June,6
40,2022-06-14 10:30:08+00:00,How to use Power Query in Power BI | Microsoft Power BI for Beginners,23866,681,36,June,6
41,2022-06-07 10:30:10+00:00,Automating Crypto Website API Pull Using Python | Data Analyst Project,17053,438,61,June,6
42,2022-05-31 10:30:01+00:00,How to use a Public API | Using a Public API with Python,12644,572,52,May,5
43,2022-05-24 10:30:06+00:00,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,48220,1382,120,May,5
44,2022-05-17 10:30:06+00:00,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,67944,1548,211,May,5
45,2022-05-10 10:30:05+00:00,Top 3 Tips to Stop Procrastinating to be Successful,30759,1599,150,May,5
46,2022-05-03 10:30:03+00:00,SQL vs NoSQL | What's the Difference?,36112,1186,61,May,5
47,2022-04-26 10:30:00+00:00,Database vs Data Warehouse vs Data Lake | What is the Difference?,225450,7358,163,April,4
48,2022-04-20 10:30:09+00:00,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,11104,316,161,April,4
49,2022-04-14 13:29:42+00:00,200k Livestream! | Shaving | Puppies | Giveaway,3145,134,11,April,4
50,2022-04-12 10:30:00+00:00,Things I HATE About Being a Data Analyst,28751,1256,186,April,4
51,2022-04-05 10:30:07+00:00,Best Website to Practice Technical Interview Questions,14861,602,54,April,4
